position,region,pop,plant,morph,height1,flwrstar,flwrleng,height2,winlen,antwin,winbud,inflor,flwrnode,agerepro
573,3,4,1,1,0,.,.,.,.,.,.,.,.,1
539,3,4,3,3,4,19,13,15,8.5,3,25.5,3,18,1
399,3,4,4,3,5,18,37,25,5.1,2,10.2,13,13,1
260,3,4,5,1,7,.,.,41,4.8,5,24,32,17,1
556,3,4,7,2,8,6,29,30,5.1,3,15.3,14,13,1
117,3,4,8,1,8,14,18,23,5.3,3,15.9,4,14,1
287,3,4,9,2,5,25,5,24,2.5,2,5,2,15,1
630,3,4,10,1,5,21,18,23,7.7,1,7.7,6,18,1
208,3,4,11,1,5,26,12,23,5.5,2,11,2,19,1
667,3,4,12,1,8,14,33,.,.,.,.,.,.,1
429,3,4,13,2,8,28,16,32,.,.,.,9,.,1
116,3,4,14,2,6,17,25,31,8.9,9,80.1,12,15,3
390,3,4,16,1,3,23,24,24,4.9,2,9.8,12,13,1
109,3,4,18,1,8,11,33,30,6.5,3,19.5,20,16,1
372,3,4,19,1,8,23,15,28,7.3,4,29.2,5,19,1
421,3,4,20,2,5,.,.,13,6.5,5,32.5,.,.,1
462,3,4,21,3,7,18,10,31,9.4,6,56.4,8,16,1
441,3,4,23,2,7,30,12,23,5.1,1,5.1,3,20,1
107,3,4,25,2,7,14,13,27,4.4,2,8.8,12,13,1
371,3,4,26,1,5,19,36,21,10.8,1,10.8,11,13,1
266,3,4,28,2,0,44,29,24,2.3,1,2.3,4,14,1
486,3,4,29,1,9,13,22,26,.,.,.,11,14,1
337,3,4,31,2,4,.,.,14,.,.,.,.,.,1
60,3,4,32,3,5,18,29,24,8,6,48,11,13,1
252,3,4,35,2,5,.,.,.,.,.,.,.,.,1
474,3,4,36,2,8,12,27,30,3,1,3,22,17,1
258,3,4,44,3,4,27,8,24,6.3,4,25.2,2,17,1
125,3,4,45,1,3,44,20,17,7.1,3,21.3,1,19,1
104,3,4,46,1,4,19,19,20,3.6,2,7.2,7,17,1
496,3,4,48,2,4,18,29,32,5.5,2,11,41,13,1
263,3,4,49,1,4,26,47,39,1.7,1,1.7,23,17,1
471,3,4,50,1,0,.,.,.,.,.,.,.,.,1
